# PadDis v8.9,,,,,,,,,,,,,,,,
seq,timestamp_ms,accel_x,accel_y,accel_z,q_w,q_x,q_y,q_z,roll,pitch,yaw,stroke_count,cpm,hz,gps_utc_sec,gps_uk_offset
61132,632081,-12.03125,-1.05078,7.95312,0.54284668,0.14648438,0.22747803,-0.79504395,-13.35699,28.67909,-114.77939,24,26,0.434,51451,1
61133,632092,-11.91406,-1.24219,7.83594,0.54986572,0.14465332,0.21655273,-0.79364014,-12.05813,27.88757,-113.57273,24,26,0.434,51451,1
61134,632102,-11.91406,-1.24219,7.83594,0.55474854,0.14312744,0.20623779,-0.79321289,-10.90584,27.12306,-112.70265,24,26,0.434,51451,1
61135,632115,-11.15234,-2.12109,8.87109,0.55950928,0.14160156,0.19549561,-0.79290771,-9.73456,26.31507,-111.86397,24,26,0.434,51451,1
61136,632122,-10.69141,-2.12109,9.02344,0.56427002,0.14001465,0.1842041,-0.7925415,-8.53193,25.45434,-111.03053,24,26,0.434,51451,1
61137,632132,-10.03906,-2.19922,9.17969,0.56903076,0.1385498,0.17236328,-0.79205322,-7.28651,24.55818,-110.19915,24,26,0.434,51451,1
61138,632142,-9.38672,-2.58203,9.40625,0.5725708,0.13751221,0.16052246,-0.79211426,-6.06999,23.68375,-109.55214,24,26,0.434,51451,1
61139,632152,-8.62109,-2.69531,9.59375,0.57550049,0.13696289,0.14855957,-0.79241943,-4.84254,22.83462,-108.99989,24,26,0.434,51451,1
61140,632162,-8.31641,-2.8125,9.48828,0.57824707,0.13677979,0.13476562,-0.79296875,-3.43159,21.88625,-108.46328,24,26,0.434,51451,1
61141,632172,-8.04688,-2.39062,9.48438,0.58056641,0.13684082,0.12115479,-0.79345703,-2.048,20.9663,-107.9937,24,26,0.434,51451,1
61142,632183,-8.04688,-2.39062,9.48438,0.58184814,0.137146,0.10778809,-0.79437256,-0.7108,20.07939,-107.68308,24,26,0.434,51451,1
61143,632196,-6.28516,-1.39453,8.64062,0.58282471,0.13739014,0.09399414,-0.79534912,0.64493,19.15461,-107.42393,24,26,0.434,51451,1
61144,632203,-6.01562,-0.01562,9.10156,0.58355713,0.13696289,0.08068848,-0.79638672,1.89004,18.19855,-107.23263,24,26,0.434,51451,1
61145,632212,-5.75,1.36328,9.48828,0.58465576,0.13464355,0.06921387,-0.79705811,2.82617,17.19095,-107.05136,24,26,0.434,51451,1
61146,632223,-5.75,4.16016,10.17578,0.58624268,0.12915039,0.06231689,-0.79736328,3.10691,16.2015,-106.90904,24,26,0.434,51451,1
61147,632232,-6.01562,4.35156,11.48047,0.58782959,0.12133789,0.06030273,-0.79754639,2.76155,15.33398,-106.84422,24,26,0.434,51451,1
61148,632242,-6.28516,3.69922,13.3125,0.58953857,0.10992432,0.06091309,-0.7979126,1.91635,14.31412,-106.84158,24,26,0.434,51451,1
61149,632252,-6.32422,3.01172,14.69922,0.59088135,0.09667969,0.06317139,-0.79846191,0.78712,13.24051,-106.90395,24,26,0.434,51451,1
61150,632263,-6.17188,-0.62891,12.32031,0.59173584,0.07983398,0.06646729,-0.79943848,-0.69046,11.90547,-107.05509,24,26,0.434,51451,1
61151,632272,-5.55859,-2.50391,10.9375,0.5914917,0.06231689,0.06970215,-0.80090332,-2.21066,10.50183,-107.30917,24,26,0.434,51451,1
61152,632281,-4.48438,-3.76953,11.24219,0.59106445,0.04522705,0.07299805,-0.80200195,-3.69511,9.13999,-107.51604,24,26,0.434,51451,1
