# PadDis v8.1
seq,timestamp_ms,accel_x,accel_y,accel_z,q_w,q_x,q_y,q_z,roll,pitch,yaw,stroke_count,cpm,hz
67,22704,0.19141,-6.51172,7.39453,0.87457275,-0.33782959,0.11633301,-0.32781982,-41.85826,-1.03201,-40.70074,0,0,0.000
68,22714,0.19141,-6.55078,7.35547,0.87457275,-0.33789062,0.11633301,-0.32781982,-41.86440,-1.03426,-40.69982,0,0,0.000
69,22725,0.19141,-6.51172,7.35156,0.87451172,-0.33789062,0.11639404,-0.32781982,-41.86897,-1.02905,-40.70439,0,0,0.000
70,22734,0.23047,-6.55078,7.35547,0.87451172,-0.33782959,0.11639404,-0.32788086,-41.86192,-1.02912,-40.71145,0,0,0.000
71,22744,0.23047,-6.62891,7.43359,0.87457275,-0.33776855,0.11639404,-0.32788086,-41.85346,-1.02595,-40.71012,0,0,0.000
72,22754,0.19141,-6.55078,7.42969,0.87451172,-0.33776855,0.11645508,-0.32788086,-41.85803,-1.02074,-40.71469,0,0,0.000
73,22765,0.19141,-6.62891,7.46875,0.87457275,-0.33776855,0.11645508,-0.32788086,-41.85571,-1.01982,-40.71244,0,0,0.000
74,22774,0.19141,-6.58984,7.43359,0.87451172,-0.33776855,0.11651611,-0.32794189,-41.85936,-1.01693,-40.72315,0,0,0.000
75,22784,0.19141,-6.51172,7.35156,0.87451172,-0.33776855,0.11651611,-0.32794189,-41.85936,-1.01693,-40.72315,0,0,0.000
76,22794,0.15234,-6.55078,7.27734,0.87451172,-0.33782959,0.11651611,-0.32794189,-41.86549,-1.01918,-40.72223,0,0,0.000
77,22805,0.19141,-6.58984,7.35156,0.87451172,-0.33782959,0.11639404,-0.32788086,-41.86192,-1.02912,-40.71145,0,0,0.000
78,22814,0.19141,-6.62891,7.39453,0.87457275,-0.33782959,0.11633301,-0.32781982,-41.85826,-1.03201,-40.70074,0,0,0.000
79,22824,0.23047,-6.58984,7.43359,0.87457275,-0.33776855,0.11627197,-0.32781982,-41.84988,-1.03589,-40.69934,0,0,0.000
80,22834,0.23047,-6.55078,7.47266,0.87463379,-0.33770752,0.11627197,-0.32781982,-41.84142,-1.03272,-40.69802,0,0,0.000
81,22845,0.19141,-6.55078,7.42969,0.87469482,-0.33758545,0.11627197,-0.32781982,-41.82683,-1.02729,-40.69761,0,0,0.000
82,22854,0.19141,-6.55078,7.42969,0.87469482,-0.33764648,0.11621094,-0.32781982,-41.83072,-1.03568,-40.69437,0,0,0.000
83,22864,0.19141,-6.58984,7.43359,0.87463379,-0.33770752,0.11627197,-0.32781982,-41.84142,-1.03272,-40.69802,0,0,0.000
84,22874,0.19141,-6.55078,7.31641,0.87463379,-0.33770752,0.11621094,-0.32781982,-41.83917,-1.03885,-40.69569,0,0,0.000
85,22885,0.19141,-6.55078,7.39062,0.87463379,-0.33770752,0.11614990,-0.32781982,-41.83692,-1.04499,-40.69337,0,0,0.000
86,22894,0.19141,-6.58984,7.39453,0.87463379,-0.33764648,0.11614990,-0.32788086,-41.82986,-1.04505,-40.70044,0,0,0.000
87,22904,0.19141,-6.62891,7.39453,0.87463379,-0.33764648,0.11608887,-0.32788086,-41.82761,-1.05119,-40.69811,0,0,0.000
88,22916,0.23047,-6.58984,7.46875,0.87469482,-0.33758545,0.11608887,-0.32788086,-41.81916,-1.04801,-40.69678,0,0,0.000
89,22924,0.23047,-6.62891,7.46875,0.87469482,-0.33764648,0.11614990,-0.32781982,-41.82847,-1.04181,-40.69205,0,0,0.000
90,22934,0.23047,-6.58984,7.43359,0.87469482,-0.33758545,0.11627197,-0.32781982,-41.82683,-1.02729,-40.69761,0,0,0.000
91,22944,0.19141,-6.51172,7.43359,0.87463379,-0.33758545,0.11639404,-0.32788086,-41.83273,-1.01827,-40.71064,0,0,0.000
92,22956,0.15234,-6.55078,7.31250,0.87463379,-0.33752441,0.11639404,-0.32788086,-41.82660,-1.01602,-40.71156,0,0,0.000
93,22964,0.11328,-6.51172,7.35547,0.87463379,-0.33752441,0.11639404,-0.32794189,-41.82568,-1.01834,-40.71769,0,0,0.000
94,22974,0.15234,-6.51172,7.35547,0.87463379,-0.33752441,0.11639404,-0.32794189,-41.82568,-1.01834,-40.71769,0,0,0.000
95,22984,0.23047,-6.58984,7.43359,0.87463379,-0.33752441,0.11639404,-0.32794189,-41.82568,-1.01834,-40.71769,0,0,0.000
96,22995,0.19141,-6.55078,7.35547,0.87463379,-0.33752441,0.11639404,-0.32794189,-41.82568,-1.01834,-40.71769,0,0,0.000
97,23004,0.19141,-6.58984,7.39453,0.87463379,-0.33752441,0.11639404,-0.32794189,-41.82568,-1.01834,-40.71769,0,0,0.000
98,23014,0.23047,-6.62891,7.46875,0.87463379,-0.33752441,0.11639404,-0.32794189,-41.82568,-1.01834,-40.71769,0,0,0.000
99,23024,0.23047,-6.55078,7.51172,0.87463379,-0.33752441,0.11639404,-0.32788086,-41.82660,-1.01602,-40.71156,0,0,0.000
100,23035,0.15234,-6.58984,7.42969,0.87457275,-0.33758545,0.11651611,-0.32794189,-41.83863,-1.00925,-40.72367,0,0,0.000
101,23044,0.15234,-6.58984,7.35547,0.87457275,-0.33764648,0.11657715,-0.32788086,-41.84795,-1.00305,-40.71893,0,0,0.000
102,23053,0.15234,-6.55078,7.35156,0.87457275,-0.33776855,0.11663818,-0.32788086,-41.86246,-1.00142,-40.71941,0,0,0.000
103,23064,0.15234,-6.47266,7.31641,0.87451172,-0.33782959,0.11657715,-0.32781982,-41.86959,-1.00841,-40.71228,0,0,0.000
104,23075,0.15234,-6.58984,7.31641,0.87451172,-0.33789062,0.11651611,-0.32781982,-41.87347,-1.01679,-40.70903,0,0,0.000
105,23084,0.19141,-6.55078,7.35547,0.87457275,-0.33789062,0.11639404,-0.32775879,-41.86757,-1.02581,-40.69601,0,0,0.000
106,23093,0.19141,-6.55078,7.35547,0.87457275,-0.33789062,0.11633301,-0.32775879,-41.86532,-1.03194,-40.69368,0,0,0.000
107,23104,0.26953,-6.58984,7.39062,0.87457275,-0.33789062,0.11633301,-0.32775879,-41.86532,-1.03194,-40.69368,0,0,0.000
108,23115,0.23047,-6.62891,7.50781,0.87457275,-0.33782959,0.11633301,-0.32775879,-41.85919,-1.02969,-40.69461,0,0,0.000
109,23124,0.23047,-6.58984,7.50781,0.87457275,-0.33776855,0.11639404,-0.32781982,-41.85438,-1.02363,-40.70399,0,0,0.000
110,23133,0.19141,-6.58984,7.43359,0.87457275,-0.33770752,0.11657715,-0.32788086,-41.85408,-1.00530,-40.71801,0,0,0.000
111,23144,0.15234,-6.58984,7.42969,0.87451172,-0.33770752,0.11669922,-0.32794189,-41.85999,-0.99628,-40.73104,0,0,0.000
112,23155,0.15234,-6.51172,7.27344,0.87451172,-0.33770752,0.11682129,-0.32800293,-41.86357,-0.98634,-40.74182,0,0,0.000
113,23163,0.11328,-6.55078,7.20312,0.87451172,-0.33764648,0.11682129,-0.32806396,-41.85652,-0.98641,-40.74887,0,0,0.000
114,23173,0.15234,-6.55078,7.20312,0.87451172,-0.33758545,0.11669922,-0.32806396,-41.84587,-0.99642,-40.74515,0,0,0.000
115,23184,0.19141,-6.58984,7.27734,0.87457275,-0.33758545,0.11645508,-0.32800293,-41.83546,-1.01770,-40.72748,0,0,0.000
116,23194,0.19141,-6.66406,7.51172,0.87463379,-0.33770752,0.11627197,-0.32788086,-41.84050,-1.03504,-40.70415,0,0,0.000
117,23203,0.23047,-6.66406,7.65625,0.87463379,-0.33776855,0.11621094,-0.32775879,-41.84623,-1.03878,-40.68864,0,0,0.000
118,23213,0.23047,-6.55078,7.58984,0.87463379,-0.33782959,0.11627197,-0.32763672,-41.85646,-1.03025,-40.67777,0,0,0.000
119,23223,0.19141,-6.55078,7.47266,0.87463379,-0.33789062,0.11639404,-0.32763672,-41.86710,-1.02024,-40.68149,0,0,0.000
120,23234,0.19141,-6.55078,7.35547,0.87463379,-0.33782959,0.11651611,-0.32763672,-41.86546,-1.00572,-40.68706,0,0,0.000
121,23243,0.15234,-6.51172,7.31641,0.87463379,-0.33782959,0.11657715,-0.32763672,-41.86771,-0.99959,-40.68938,0,0,0.000
122,23253,0.15234,-6.51172,7.35547,0.87457275,-0.33776855,0.11657715,-0.32775879,-41.86206,-1.00291,-40.70482,0,0,0.000
123,23263,0.23047,-6.55078,7.39062,0.87457275,-0.33776855,0.11657715,-0.32781982,-41.86114,-1.00523,-40.71095,0,0,0.000
124,23274,0.19141,-6.58984,7.39453,0.87457275,-0.33776855,0.11651611,-0.32788086,-41.85796,-1.01369,-40.71477,0,0,0.000
125,23283,0.19141,-6.62891,7.43359,0.87451172,-0.33782959,0.11645508,-0.32788086,-41.86417,-1.02299,-40.71377,0,0,0.000
126,23293,0.19141,-6.62891,7.39453,0.87457275,-0.33782959,0.11645508,-0.32788086,-41.86184,-1.02207,-40.71152,0,0,0.000
127,23303,0.15234,-6.55078,7.39453,0.87457275,-0.33776855,0.11645508,-0.32781982,-41.85664,-1.01750,-40.70631,0,0,0.000
128,23313,0.19141,-6.55078,7.35547,0.87457275,-0.33776855,0.11645508,-0.32781982,-41.85664,-1.01750,-40.70631,0,0,0.000
129,23323,0.19141,-6.51172,7.35156,0.87457275,-0.33782959,0.11639404,-0.32781982,-41.86052,-1.02588,-40.70306,0,0,0.000
130,23333,0.19141,-6.55078,7.42969,0.87457275,-0.33782959,0.11633301,-0.32781982,-41.85826,-1.03201,-40.70074,0,0,0.000
131,23343,0.19141,-6.66406,7.42969,0.87457275,-0.33789062,0.11627197,-0.32781982,-41.86214,-1.04039,-40.69749,0,0,0.000
132,23353,0.19141,-6.55078,7.42969,0.87457275,-0.33789062,0.11633301,-0.32781982,-41.86440,-1.03426,-40.69982,0,0,0.000
133,23363,0.19141,-6.55078,7.39062,0.87457275,-0.33782959,0.11639404,-0.32781982,-41.86052,-1.02588,-40.70306,0,0,0.000
134,23373,0.15234,-6.58984,7.39062,0.87457275,-0.33782959,0.11645508,-0.32781982,-41.86276,-1.01975,-40.70539,0,0,0.000
135,23385,0.19141,-6.55078,7.35547,0.87457275,-0.33776855,0.11645508,-0.32781982,-41.85664,-1.01750,-40.70631,0,0,0.000
136,23393,0.19141,-6.58984,7.39453,0.87457275,-0.33776855,0.11645508,-0.32788086,-41.85571,-1.01982,-40.71244,0,0,0.000
137,23403,0.15234,-6.51172,7.39062,0.87457275,-0.33782959,0.11639404,-0.32788086,-41.85959,-1.02820,-40.70920,0,0,0.000
138,23413,0.19141,-6.55078,7.42969,0.87451172,-0.33789062,0.11639404,-0.32788086,-41.86805,-1.03138,-40.71052,0,0,0.000
139,23425,0.19141,-6.58984,7.46875,0.87451172,-0.33789062,0.11633301,-0.32788086,-41.86580,-1.03751,-40.70820,0,0,0.000
140,23433,0.19141,-6.62891,7.43359,0.87451172,-0.33789062,0.11639404,-0.32788086,-41.86805,-1.03138,-40.71052,0,0,0.000
141,23443,0.19141,-6.62891,7.39453,0.87451172,-0.33782959,0.11639404,-0.32794189,-41.86099,-1.03145,-40.71758,0,0,0.000
142,23453,0.19141,-6.55078,7.35547,0.87451172,-0.33789062,0.11645508,-0.32788086,-41.87030,-1.02524,-40.71284,0,0,0.000
143,23463,0.15234,-6.58984,7.27344,0.87445068,-0.33801270,0.11645508,-0.32788086,-41.88489,-1.03067,-40.71325,0,0,0.000
144,23473,0.19141,-6.55078,7.31641,0.87451172,-0.33801270,0.11639404,-0.32781982,-41.88123,-1.03355,-40.70254,0,0,0.000
145,23483,0.19141,-6.58984,7.39453,0.87451172,-0.33801270,0.11633301,-0.32781982,-41.87899,-1.03969,-40.70022,0,0,0.000
146,23493,0.19141,-6.62891,7.46875,0.87451172,-0.33801270,0.11627197,-0.32775879,-41.87766,-1.04350,-40.69176,0,0,0.000
147,23504,0.23047,-6.55078,7.47266,0.87457275,-0.33801270,0.11621094,-0.32775879,-41.87309,-1.04870,-40.68719,0,0,0.000
148,23513,0.23047,-6.58984,7.46875,0.87457275,-0.33795166,0.11621094,-0.32775879,-41.86695,-1.04645,-40.68811,0,0,0.000
149,23523,0.23047,-6.58984,7.50781,0.87457275,-0.33789062,0.11627197,-0.32775879,-41.86307,-1.03807,-40.69136,0,0,0.000
150,23533,0.23047,-6.55078,7.42969,0.87457275,-0.33782959,0.11627197,-0.32781982,-41.85601,-1.03814,-40.69842,0,0,0.000
151,23544,0.19141,-6.55078,7.39062,0.87457275,-0.33776855,0.11633301,-0.32788086,-41.85120,-1.03208,-40.70780,0,0,0.000
